Source Title,Language,Title,Body,Image,Interests,UUID,Created
Submit your Photo: Win the Trip of a Lifetime!,es,Envíe su foto: Gana el viaje de tu vida!,"<p> Hola a todos ustedes photobugs, es lo que tenemos un concurso para ti... Participa en nuestro concurso de fotos y enviar su imagen para World Travel Nexus. Vamos a recoger a partir de los tres primeros fotógrafos y repartimos tu elección de cualquiera de nuestros paquetes de vacaciones! Ahora ahora, sabemos lo que estás diciendo, ""¿cuál es el truco?"" No hay truco! Ok ok, simplemente nos dejaron usar su foto hermosa en este sitio web - eso es todo! Vamos a usar su foto increíble y le enviaremos a la destinación de las vacaciones de sus sueños: pasajes aéreos, alojamiento y una visita guiada son el suyo para tomar.</p>",camera.jpg,"Vacation, Tourism, Culture, Adventure",f1dd6770-9d8f-11e3-a5e2-0800200c9a66,1384254733
Win Amsterdam Accommodations,es,Ganar Alojamiento Ámsterdam,"<p>Una de las mayores ciudades del mundo, Amsterdam es el hogar de bicicletas, lugares históricos, una cultura local viva y comida típica. Los Nedtherlands es el hogar de una tierra que está muy por debajo del nivel del mar por lo que realmente no hay otros lugares con más barcos, muelles, velas y canales. Amsterdam es también el hogar de flores, tiendas de café, y las personas altas liberales (y hermoso).</p>",amsterdam.jpg,"Europe, Dining, Vacation, Bar, Room Service",abb852f1-60a3-44e6-9ed3-f97e888b193d,1381313409
Win an Unbelievable Stay at Niagra Falls,es,Gana una estancia increíble en las Cataratas del Niágara,"<p>Participe en nuestro concurso para ganar un viaje a las Cataratas del Niágara. Durante su estadía en el alojamiento será en un famoso y único hotel: el Tower Hotel Cataratas. Esta torre fue construida en la década de 1960 como un restaurante y una torre de observación. En 2001 se convirtió en un hotel boutiqe. Desde el interior de las paredes de la Torre Niagara, podrá disfrutar de grandes ventanales y una vista absolutamente increíble de la famosa marca.</p>",niagra-falls.jpg,"Family Friendly, USA, Parks, Room Service",70e17bac-67b8-4018-8111-28b800302499,1373942013
Win a Tropical Caribbean Vacation,es,Gana unas vacaciones tropicales del Caribe,"<p>Vamos a empezar en un crucero por la costa del Caribe. Una vez en Belice, que será recibido por su chofer privado que lo acompañará en el arrecife a una isla privada. Durante su estancia, podrá explorar apasionante mundo submarino de Belice y ver su coral impresionante. Su guía le llevará a ver las cuevas intrincados y hermosa vida marina durante su viaje.</p>",belize-boat.jpg,"Vacation, Tropical, Spa, Dining, Bar, Room Service",5546ad2b-28a2-44d9-bc82-879b2b81eb9a,1370066498
Win A Trip To London and Rule Over Parliament!,es,Gana un viaje a Londres y gobernar sobre el Parlamento!,"<p>Buscando una actualización a unas vacaciones lleno de estrellas? ¿Qué paquete de 5 estrellas? Participa y podrás ganar un ascenso a unas vacaciones de lujo en Londres y la experiencia de una manera exclusiva para disfrutar de esta ciudad real. Durante su estancia, usted será el invitado de honor en un conocer y saludar a los miembros actuales del Parlamento! También estará cerca de lugares de interés histórico que mezclan la cultura con todas las comodidades que te harán sentir como en casa - si su hogar incluye un mayordomo y servicio de habitaciones las 24 horas, es decir.</p>",london-parliament.jpg,"Business, Europe, UK, Free Wifi, Dining, Bar, Room Service",5d5cfe0e-242e-4690-8dc2-4225011373df,1367072858
Submit your Photo: Win the Trip of a Lifetime!,de,Reichen Sie Ihre Foto: Gewinnen Sie die Reise des Lebens!,"<p> Hey alle, die Sie photobugs, haben wir haben einen Wettbewerb für Sie ... Bitte geben Sie unseren Foto-Wettbewerb und senden Sie Ihre Bild, Weltreise Nexus. Wir werden aus den Top drei Fotografen holen und verteilen Ihre Wahl eines unserer Pauschalreisen! Jetzt ... jetzt wissen wir, was Sie sagen, ""wo ist der Haken?"" Es gibt keinen Haken! Ok ok, nur lassen Sie uns Ihr schönes Foto auf dieser Website - das ist es! Lassen Sie uns Ihre erstaunliche Foto und wir werden Sie zum Reiseziel Ihrer Träume zu senden: Flug, Unterkunft und eine Führung gibt Ihnen für die Aufnahme.</p>",camera.jpg,"Vacation, Tourism, Culture, Adventure",ca0ba163-e7c0-45bb-a504-e699df347255,1384254733
Win Amsterdam Accommodations,de,Übernachtungen in Amsterdam zu gewinnen,"<p>Einer der größten Weltstädte, ist Amsterdam die Heimat von Fahrrädern, schöne Sehenswürdigkeiten, eine lebendige lokale Kultur und einheimischen Lebensmitteln. Die Niederlände liegen unter dem Meeresspiegel; so gibt es wirklich nicht irgendwelche anderen Orten mit mehr Booten in Häfen, Segel und Kanälen. Amsterdam ist auch die Heimat von Blumen, Cafés und große, liberal (und schöne) Menschen.</p>",amsterdam.jpg,"Europe, Dining, Vacation, Bar, Room Service",7e85b83d-a0b4-4bec-bb1e-77653687dfdd,1381313409
Win an Unbelievable Stay at Niagra Falls,de,Traumurlaub in Niagra wird verlost,"<p>Nehmen Sie an unserem Wettbewerb teil, einen Ausflug zu den Niagarafällen zu gewinnen. Ziel ist das Niagara Tower Hotel: Während Ihres Aufenthaltes Ihre Unterkunft wird eine berühmte und einzigartige Hotel. Dieser Turm wurde in den 1960er Jahren als Restaurant und Aussichtsturm gebaut. Im Jahr 2001 wurde es zu einem Boutique-Hotel umgebaut. Von innerhalb der Mauern des Niagara Turm, werden Sie vom Boden bis zur Decke reichenden Fenster und eine absolut unglaubliche Aussicht auf die berühmte Wahrzeichen genießen.</p>",niagra-falls.jpg,"Family Friendly, USA, Parks, Room Service",19a39e2f-e325-430e-96c0-9f9666500a32,1373942013
Win a Tropical Caribbean Vacation,de,Urlaub im Tropenparadies zu gewinnen,"<p> Sie beginnen mit einem Kreuzfahrt in der Karibik. Sobald Sie in Belize ankommen, werden Sie von Ihrem privaten Pilot getroffen, der Sie über das Riff begleiten zu einer privaten Insel. Während Ihres Aufenthaltes werden Sie die spannende Unterwasserwelt von Belize erkunden, dabei sehen Sie auch atemberaubende Korallen. Ihr Guide führt Sie zu tiefen Höhlen und schöne marine Leben während der Fahrt. </P>",belize-boat.jpg,"Vacation, Tropical, Spa, Dining, Bar, Room Service",d3e6066f-d915-4061-86f1-60b9e162a0ba,1370066498
Win A Trip To London and Rule Over Parliament!,de,Reise nach London zu gewinnen! ,"<p>Suchen Sie ein Upgrade auf eine hochkarätig besetzte Urlaub? Wie wäre es mit 5-Sterne-Paket? Geben Sie ein Upgrade auf einem Luxus-Urlaub London gewinnen und erleben Sie eine exklusive Möglichkeit, dieses königliche Stadt zu erleben. Während Ihres Aufenthaltes werden Sie die Ehrengast bei einem treffen und mit echten Mitglieder des Parlaments begrüßen zu dürfen! . Du wirst auch in der Nähe von historischen Sehenswürdigkeiten Mischen Kultur mit Annehmlichkeiten, die Sie wie zu Hause fühlen werden - wenn Ihr Haus einen Butler und einen 24-Stunden-Zimmerservice, dh</p>",london-parliament.jpg,"Business, Europe, UK, Free Wifi, Dining, Bar, Room Service",2f668cac-8162-4e25-b42c-146e79285c52,1367072858